r,chord,twist,airfoil
0,0.122,0,cylinder
0.102,0.1917,30.07,cba
0.128,0.2312,29.201,cba
0.153,0.2637,28.223,cba
0.179,0.2893,27.136,cba
0.204,0.308,25.94,cba
0.23,0.3197,24.635,cba
0.256,0.3135,22.761,cba
0.281,0.3077,21.213,cba
0.307,0.302,19.771,cba
0.332,0.2976,18.432,cba
0.358,0.2943,17.193,cba
0.383,0.2915,16.085,cba
0.409,0.2887,15.095,cba
0.435,0.2858,14.149,cba
0.46,0.283,13.197,cba
0.486,0.2802,12.312,cba
0.511,0.2774,11.486,cba
0.537,0.2747,10.76,cba
0.562,0.2721,10.038,cba
0.588,0.2697,9.384,cba
0.613,0.2674,8.732,cba
0.639,0.2652,8.167,cba
0.665,0.263,7.668,cba
0.69,0.261,7.204,cba
0.716,0.2591,6.799,cba
0.741,0.2568,6.5,cba
0.767,0.2541,6.218,cba
0.792,0.2511,5.935,cba
0.818,0.2479,5.656,cba
0.844,0.2446,5.417,cba
0.869,0.2413,5.138,cba
0.895,0.2381,4.911,cba
0.92,0.2351,4.675,cba
0.946,0.2325,4.433,cba
0.971,0.2301,4.221,cba
0.997,0.2273,4.033,cba
1.022,0.2246,3.797,cba
1.048,0.2219,3.574,cba
1.074,0.2192,3.403,cba
1.099,0.2164,3.246,cba
1.125,0.2136,3.058,cba
1.15,0.2108,2.923,cba
1.176,0.2081,2.751,cba
1.201,0.2054,2.603,cba
1.227,0.2027,2.453,cba
1.253,0.1999,2.336,cba
1.278,0.1973,2.213,cba
1.304,0.1947,2.11,cba
1.329,0.1921,2.007,cba
1.355,0.1891,1.946,cba
1.38,0.1866,1.874,cba
1.406,0.184,1.796,cba
1.431,0.1814,1.701,cba
1.457,0.1789,1.619,cba
1.483,0.1762,1.533,cba
1.508,0.1735,1.467,cba
1.534,0.1708,1.374,cba
1.559,0.1682,1.285,cba
1.585,0.1654,1.177,cba
1.61,0.1626,1.087,cba
1.636,0.1603,0.946,cba
1.662,0.1577,0.794,cba
1.687,0.1552,0.675,cba
1.713,0.1526,0.576,cba
1.738,0.15,0.517,cba
1.764,0.1475,0.457,cba
1.789,0.1448,0.442,cba
1.815,0.1422,0.442,cba
1.84,0.1396,0.442,cba
1.866,0.1371,0.39,cba
1.892,0.1344,0.338,cba
1.917,0.1336,0.338,cba
1.943,0.1284,0.27,cba
1.968,0.1245,0.175,cba
1.993,0.1202,0.103,cba
2.019,0.1161,0.103,cba
2.044,0.1117,0.103,cba
2.071,0.1073,0.103,cba
2.098,0.1027,0.103,cba
2.123,0.098,0.103,cba
2.275,0.0931,0.103,cba
