r,chord,twist,airfoil
0.0,0.12,30.42,cylinder
0.034,0.13,30.32,cba
0.068,0.15,30.43,cba
0.102,0.2,30.46,cba
0.136,0.25,30.08,cba
0.17,0.28,28.81,cba
0.204,0.31,26.4,cba
0.238,0.312,23.64,cba
0.272,0.308,21.37,cba
0.306,0.304,19.51,cba
0.34,0.3,17.85,cba
0.374,0.296,16.31,cba
0.408,0.293,14.9,cba
0.442,0.289,13.61,cba
0.476,0.285,12.41,cba
0.51,0.281,11.3,cba
0.544,0.277,10.28,cba
0.578,0.274,9.32,cba
0.612,0.27,8.43,cba
0.646,0.266,7.61,cba
0.68,0.262,6.86,cba
0.714,0.259,6.21,cba
0.748,0.255,5.66,cba
0.782,0.251,5.21,cba
0.816,0.248,4.84,cba
0.85,0.244,4.53,cba
0.884,0.241,4.23,cba
0.918,0.237,3.94,cba
0.952,0.233,3.64,cba
0.986,0.23,3.35,cba
1.02,0.226,3.06,cba
1.054,0.223,2.78,cba
1.088,0.219,2.52,cba
1.122,0.216,2.27,cba
1.156,0.212,2.04,cba
1.19,0.209,1.85,cba
1.224,0.205,1.67,cba
1.258,0.202,1.52,cba
1.292,0.198,1.38,cba
1.326,0.195,1.25,cba
1.36,0.191,1.14,cba
1.394,0.188,1.03,cba
1.428,0.184,0.93,cba
1.462,0.181,0.83,cba
1.496,0.177,0.73,cba
1.53,0.174,0.62,cba
1.564,0.17,0.52,cba
1.598,0.167,0.42,cba
1.632,0.163,0.33,cba
1.666,0.16,0.24,cba
1.7,0.157,0.17,cba
1.734,0.153,0.11,cba
1.768,0.15,0.06,cba
1.802,0.146,0.02,cba
1.836,0.143,-0.0,cba
1.87,0.139,-0.02,cba
1.904,0.136,-0.03,cba
1.938,0.132,-0.03,cba
1.972,0.129,-0.02,cba
2.006,0.125,-0.02,cba
2.04,0.122,-0.01,cba
2.074,0.118,0.0,cba
2.108,0.114,0.01,cba
2.142,0.111,0.02,cba
2.176,0.107,0.02,cba
2.21,0.104,0.02,cba
2.244,0.1,0.01,cba
2.278,0.096,-0.01,cba
2.312,0.093,-0.03,cba
