alpha,cl,cd
-22.0,-0.9559,0.13155
-21.75,-0.9557,0.12803
-21.5,-0.9559,0.12443
-21.25,-0.9567,0.12076
-21.0,-0.9549,0.11766
-20.75,-0.953,0.1145
-20.5,-0.953,0.11096
-20.25,-0.9506,0.10793
-20.0,-0.9504,0.10457
-19.75,-0.9478,0.1016
-19.5,-0.9457,0.09849
-19.25,-0.9432,0.09548
-19.0,-0.94,0.09266
-18.75,-0.9375,0.08974
-18.5,-0.9334,0.08703
-18.25,-0.9303,0.08414
-18.0,-0.9259,0.08156
-17.75,-0.9204,0.07923
-17.5,-0.9159,0.07664
-17.25,-0.9103,0.07426
-17.0,-0.9052,0.07177
-16.75,-0.8988,0.06973
-16.5,-0.8918,0.06768
-16.25,-0.8847,0.06565
-16.0,-0.8785,0.06349
-15.75,-0.8716,0.06142
-15.5,-0.8631,0.05986
-15.25,-0.8555,0.05811
-15.0,-0.849,0.05614
-14.75,-0.8408,0.05447
-14.5,-0.8329,0.05274
-14.25,-0.8255,0.05122
-14.0,-0.8199,0.04959
-13.75,-0.8145,0.04804
-13.25,-0.7724,0.04414
-13.0,-0.7496,0.04213
-12.75,-0.7254,0.03995
-12.5,-0.6966,0.03796
-12.25,-0.6626,0.03612
-12.0,-0.6315,0.03368
-11.75,-0.5923,0.03143
-11.5,-0.55,0.02963
-11.25,-0.523,0.02743
-11.0,-0.5077,0.02565
-10.75,-0.4931,0.02416
-10.5,-0.4788,0.02264
-10.25,-0.4732,0.02103
-9.75,-0.4555,0.01814
-9.5,-0.449,0.01648
-9.25,-0.4631,0.0146
-9.0,-0.4713,0.01281
-8.75,-0.4592,0.0123
-8.5,-0.4408,0.01187
-8.25,-0.4168,0.01153
-8.0,-0.4005,0.01117
-7.75,-0.3807,0.01088
-7.5,-0.3569,0.01067
-7.25,-0.3337,0.01051
-7.0,-0.312,0.01039
-6.75,-0.2871,0.01033
-6.5,-0.2584,0.01035
-6.25,-0.2339,0.01036
-6.0,-0.2103,0.01037
-5.75,-0.1835,0.01044
-5.5,-0.1534,0.01053
-5.25,-0.1288,0.01056
-5.0,-0.1046,0.01062
-4.75,-0.0795,0.01071
-4.5,-0.0514,0.01083
-4.25,-0.0258,0.0108
-4.0,-0.0021,0.01082
-3.75,0.0226,0.01086
-3.5,0.0492,0.01095
-3.25,0.0755,0.01108
-3.0,0.0972,0.01096
-2.75,0.1204,0.01088
-2.5,0.1459,0.01088
-2.25,0.1701,0.01089
-2.0,0.1912,0.01085
-1.75,0.2132,0.01085
-1.5,0.2385,0.01091
-1.25,0.2572,0.01086
-1.0,0.2778,0.01085
-0.75,0.2995,0.01082
-0.5,0.3207,0.0107
-0.25,0.3413,0.01065
0.0,0.3624,0.01066
0.25,0.3837,0.01068
0.5,0.4043,0.0107
0.75,0.4247,0.01075
1.0,0.4455,0.01079
1.25,0.4654,0.01083
1.5,0.4848,0.01094
1.75,0.505,0.01101
2.0,0.5238,0.01108
2.25,0.5418,0.01114
2.5,0.5605,0.01117
2.75,0.5788,0.01127
3.0,0.5975,0.01142
3.25,0.6168,0.01149
3.5,0.6352,0.01161
3.75,0.6532,0.0118
4.0,0.6723,0.01188
4.25,0.6914,0.01199
4.5,0.7084,0.01215
4.75,0.7261,0.01234
5.0,0.7451,0.01243
5.25,0.7641,0.01251
5.5,0.7827,0.01266
5.75,0.8023,0.01285
6.0,0.8226,0.01302
6.25,0.8424,0.01316
6.5,0.8617,0.01332
6.75,0.8807,0.01351
7.0,0.8996,0.01375
7.25,0.9221,0.01402
7.5,0.9417,0.01419
7.75,0.9607,0.01438
8.0,0.9788,0.01463
8.25,0.9979,0.01494
8.5,1.0174,0.01526
8.75,1.0344,0.01559
9.0,1.0553,0.01595
9.25,1.0777,0.01636
9.75,1.1206,0.0172
10.0,1.1398,0.01785
10.25,1.1644,0.01833
10.5,1.1848,0.01911
10.75,1.2086,0.01981
11.0,1.2275,0.02082
11.25,1.2437,0.02197
11.75,1.2543,0.02594
12.0,1.2571,0.02798
12.25,1.2599,0.03011
12.5,1.2713,0.03176
12.75,1.282,0.03365
13.0,1.2983,0.03598
13.25,1.3192,0.03893
13.5,1.3225,0.04098
13.75,1.3197,0.04362
14.0,1.3114,0.04684
14.25,1.2952,0.0509
14.5,1.2782,0.05518
14.75,1.261,0.05962
15.0,1.2403,0.06459
15.25,1.2266,0.06897
15.5,1.2206,0.07256
15.75,1.2142,0.07629
16.0,1.2111,0.07969
16.25,1.2065,0.08333
16.5,1.2025,0.08694
16.75,1.2023,0.09009
17.0,1.1982,0.0938
17.25,1.1953,0.09738
17.5,1.1899,0.10132
18.0,1.1822,0.10887
18.25,1.1803,0.11241
18.5,1.1795,0.11583
18.75,1.1789,0.1192
19.0,1.1766,0.12284
19.25,1.1763,0.12617
19.5,1.1751,0.12967
19.75,1.1742,0.13313
20.0,1.1729,0.13653
20.25,1.1746,0.13955
20.5,1.1773,0.14247
20.75,1.1813,0.14513
21.0,1.1858,0.14771
21.25,1.1902,0.15031
21.5,1.1938,0.15304
21.75,1.199,0.15546
22.0,1.2053,0.15767
22.25,1.2116,0.15987
22.5,1.2182,0.16202
22.75,1.2247,0.16411
23.0,1.2316,0.16615
23.25,1.2392,0.16802
23.5,1.2471,0.16981
23.75,1.2559,0.17137
24.0,1.2669,0.17242
24.25,1.2781,0.17338
24.5,1.2899,0.1741
24.75,1.2967,0.17604
25.0,1.3012,0.17842
