alpha,cl,cd
-180.0,0.0,0.001
-179.21928571428572,0.051448556105610097,0.001
-179.14285714285714,0.0564851485148515,0.001
-179.1357142857143,0.056955858085807366,0.001
-179.1342857142857,0.05705000000000004,0.001
-179.1185714285714,0.05808556105610631,0.001
-178.4385714285714,0.10289711221122207,0.001
-178.2857142857143,0.11297029702970113,0.001
-178.27142857142857,0.1139117161716166,0.001
-178.26857142857142,0.11410000000000008,0.001
-178.23714285714286,0.11617112211221074,0.001
-177.65785714285715,0.1543456683168303,0.001
-177.42857142857142,0.16945544554455455,0.001
-177.40714285714284,0.17086757425742588,0.001
-177.40285714285713,0.17115000000000014,0.001
-177.35571428571427,0.17425668316831708,0.001
-176.87714285714287,0.2057942244224404,0.001
-176.57142857142856,0.22594059405940603,0.001
-176.54285714285714,0.2278234323432332,0.001
-176.53714285714284,0.22820000000000015,0.001
-176.4742857142857,0.23234224422442162,0.001
-176.09642857142856,0.2572427805280533,0.001
-175.71428571428572,0.2824257425742574,0.001
-175.67857142857144,0.28477929042904243,0.001
-175.67142857142858,0.28525000000000017,0.001
-175.59285714285716,0.29042780528052775,0.001
-175.31571428571428,0.3086913366336643,0.001
-174.85714285714286,0.33891089108910905,0.001
-174.8142857142857,0.3417351485148536,0.001
-174.8057142857143,0.34230000000000027,0.001
-174.71142857142857,0.34851336633663416,0.001
-174.535,0.3601398927392745,0.001
-174.00000000000003,0.39539603960395875,0.001
-173.95,0.39869100660066104,0.001
-173.94,0.39935000000000037,0.001
-173.83,0.4065989273927386,0.001
-173.75428571428571,0.4115884488448846,0.001
-173.14285714285714,0.45188118811881206,0.001
-173.0857142857143,0.4556468646864683,0.001
-173.0742857142857,0.4564000000000003,0.001
-172.97357142857143,0.46303700495049466,0.0011759973158420142
-172.94857142857143,0.46468448844884486,0.001219684592824089
-172.28571428571428,0.5083663366336636,0.0023780215368057037
-172.22142857142856,0.5126027227722776,0.002490360249045303
-172.20857142857142,0.5134500000000004,0.002512827991493223
-172.19285714285712,0.5144855610561067,0.002630305225898397
-172.06714285714284,0.5227700495049512,0.0035701231011391523
-171.42857142857144,0.5648514851485131,0.008343970717418832
-171.41214285714284,0.5659341171617167,0.008466787826115322
-171.35714285714283,0.5695585808580867,0.00887795814653322
-171.34285714285713,0.5705000000000003,0.00898475563235597
-171.18571428571428,0.5808556105610556,0.01027924274018713
-170.6314285714286,0.617382673267325,0.014845251811446367
-170.57142857142858,0.6213366336633648,0.015339510525345598
-170.49285714285713,0.6265144389438942,0.01598675407926141
-170.47714285714284,0.6275500000000005,0.01611620279004462
