alpha,cl,cd
-19.250,-0.6938,0.13758
-19.000,-0.7151,0.12894
-18.750,-0.7298,0.12228
-18.500,-0.7460,0.11529
-18.250,-0.7600,0.10888
-18.000,-0.7736,0.10246
-17.750,-0.7855,0.09689
-17.500,-0.7970,0.09135
-17.250,-0.8076,0.08638
-16.750,-0.8267,0.07658
-16.500,-0.8440,0.07099
-16.250,-0.8537,0.06654
-16.000,-0.8671,0.06175
-15.750,-0.8747,0.05784
-15.500,-0.8838,0.05391
-15.250,-0.8909,0.05043
-15.000,-0.8963,0.04730
-14.750,-0.9029,0.04433
-14.500,-0.9045,0.04208
-14.250,-0.9094,0.03980
-14.000,-0.9168,0.03778
-13.750,-0.9237,0.03603
-13.500,-0.9071,0.03353
-13.250,-0.8979,0.03052
-13.000,-0.8780,0.02875
-12.750,-0.8555,0.02713
-12.500,-0.8376,0.02558
-12.250,-0.8184,0.02372
-12.000,-0.7906,0.02279
-11.750,-0.7718,0.02127
-11.500,-0.7447,0.02028
-11.250,-0.7258,0.01937
-11.000,-0.7073,0.01839
-10.750,-0.6904,0.01791
-10.500,-0.6785,0.01709
-10.250,-0.6654,0.01662
-10.000,-0.6535,0.01601
-9.750,-0.6412,0.01556
-9.500,-0.6304,0.01506
-9.000,-0.6035,0.01434
-8.750,-0.5870,0.01394
-8.500,-0.5688,0.01357
-8.250,-0.5500,0.01324
-8.000,-0.5311,0.01291
-7.750,-0.5112,0.01258
-7.500,-0.4901,0.01226
-7.250,-0.4679,0.01198
-7.000,-0.4470,0.01170
-6.750,-0.4257,0.01141
-6.500,-0.4030,0.01114
-6.250,-0.3799,0.01086
-6.000,-0.3556,0.01064
-5.750,-0.3332,0.01040
-5.500,-0.3098,0.01018
-5.250,-0.2855,0.00997
-5.000,-0.2605,0.00975
-4.750,-0.2347,0.00957
-4.500,-0.2107,0.00940
-4.250,-0.1861,0.00923
-4.000,-0.1604,0.00907
-3.750,-0.1340,0.00891
-3.500,-0.1070,0.00878
-3.250,-0.0816,0.00869
-3.000,-0.0557,0.00861
-2.750,-0.0284,0.00856
-2.500,-0.0002,0.00851
-2.250,0.0286,0.00849
-2.000,0.0549,0.00849
-1.750,0.0819,0.00848
-1.500,0.1100,0.00845
-1.250,0.1390,0.00843
-1.000,0.1681,0.00845
-0.750,0.1941,0.00846
-0.500,0.2216,0.00845
-0.250,0.2504,0.00845
0.000,0.2799,0.00845
0.250,0.3070,0.00849
0.500,0.3338,0.00851
0.750,0.3624,0.00848
1.000,0.3925,0.00847
1.250,0.4175,0.00844
1.500,0.4458,0.00840
1.750,0.4742,0.00839
2.000,0.4998,0.00838
2.250,0.5283,0.00836
2.500,0.5542,0.00836
2.750,0.5812,0.00836
3.000,0.6080,0.00836
3.250,0.6334,0.00836
3.500,0.6598,0.00838
3.750,0.6847,0.00839
4.000,0.7097,0.00843
4.250,0.7343,0.00846
4.500,0.7578,0.00851
4.750,0.7806,0.00858
5.000,0.8019,0.00867
5.250,0.8234,0.00878
5.500,0.8417,0.00890
5.750,0.8582,0.00906
6.000,0.8693,0.00929
6.250,0.8700,0.00965
6.500,0.8654,0.01017
6.750,0.8636,0.01081
7.000,0.8633,0.01143
7.250,0.8645,0.01200
7.500,0.8665,0.01263
7.750,0.8776,0.01331
8.000,0.9003,0.01421
8.250,0.9161,0.01503
8.500,0.9298,0.01583
8.750,0.9440,0.01661
9.000,0.9582,0.01740
9.250,0.9724,0.01819
9.500,0.9865,0.01899
9.750,1.0009,0.01978
10.000,1.0152,0.02057
10.250,1.0281,0.02146
10.500,1.0418,0.02232
10.750,1.0552,0.02321
11.000,1.0670,0.02421
11.250,1.0791,0.02520
11.500,1.0920,0.02617
11.750,1.0981,0.02761
12.000,1.1121,0.02853
12.250,1.1249,0.02955
12.500,1.1327,0.03096
12.750,1.1380,0.03260
13.000,1.1507,0.03370
13.250,1.1618,0.03495
13.500,1.1715,0.03633
13.750,1.1749,0.03828
14.000,1.1774,0.04038
14.250,1.1886,0.04176
14.500,1.1961,0.04351
14.750,1.2048,0.04517
15.000,1.2131,0.04691
15.250,1.2093,0.04992
15.500,1.2091,0.05267
15.750,1.2174,0.05459
16.000,1.2209,0.05708
16.250,1.2261,0.05944
16.500,1.2291,0.06214
16.750,1.2287,0.06531
17.000,1.2221,0.06932
17.250,1.2154,0.07353
17.500,1.2148,0.07710
17.750,1.2132,0.08091
18.000,1.2100,0.08504
18.250,1.2060,0.08941
18.500,1.2005,0.09415
18.750,1.1956,0.09891
19.000,1.1880,0.10425
19.250,1.1801,0.10961
