r,chord,twist,airfoil
0.1,0.0985,18.3302,cylinder
0.2525,0.0985,18.3302,S823
0.2778,0.0985,18.3302,S823
0.303,0.0985,18.3302,S823
0.3283,0.0985,18.3302,S823
0.3535,0.0985,18.3302,S823
0.3788,0.0985,18.3302,S823
0.404,0.1057,18.3302,S823
0.4293,0.1206,18.3302,S823
0.4545,0.1417,18.3302,S823
0.4798,0.167,18.3302,S823
0.5051,0.1951,18.3302,S823
0.5303,0.2242,17.4809,S823
0.5556,0.2526,16.6876,S823
0.5808,0.2787,15.9455,S823
0.6061,0.3007,15.2503,S823
0.6313,0.317,14.5982,S823
0.6566,0.3258,13.9856,S823
0.6818,0.3255,13.4093,S823
0.7071,0.3171,12.8664,S823
0.7323,0.3089,12.3543,S823
0.7576,0.3011,11.8707,S823
0.7828,0.2936,11.4132,S823
0.8081,0.2864,10.9801,S823
0.8333,0.2795,10.5695,S823
0.8586,0.2729,10.1798,S823
0.8838,0.2665,9.8095,S823
0.9091,0.2604,9.4572,S823
0.9343,0.2546,9.1218,S823
0.9596,0.249,8.8021,S823
0.9848,0.2435,8.497,S823
1.0101,0.2383,8.2057,S823
1.0354,0.2333,7.9272,S822
1.0606,0.2285,7.6607,S822
1.0859,0.2239,7.4055,S822
1.1111,0.2194,7.161,S822
1.1364,0.2151,6.9264,S822
1.1616,0.2109,6.7012,S822
1.1869,0.2069,6.4849,S822
1.2121,0.2031,6.277,S822
1.2374,0.1993,6.0769,S822
1.2626,0.1957,5.8843,S822
1.2879,0.1922,5.6988,S822
1.3131,0.1889,5.52,S822
1.3384,0.1856,5.3475,S822
1.3636,0.1825,5.1811,S822
1.3889,0.1794,5.0203,S822
1.4141,0.1764,4.865,S822
1.4394,0.1736,4.7149,S822
1.4646,0.1708,4.5697,S822
1.4899,0.1681,4.4291,S822
1.5152,0.1654,4.2931,S822
1.5404,0.1629,4.1612,S822
1.5657,0.1604,4.0335,S822
1.5909,0.158,3.9096,S822
1.6162,0.1556,3.7894,S822
1.6414,0.1533,3.6728,S822
1.6667,0.1511,3.5596,S822
1.6919,0.1489,3.4496,S822
1.7172,0.1467,3.3428,S822
1.7424,0.1446,3.2389,S822
1.7677,0.1426,3.1379,S822
1.7929,0.1406,3.0397,S822
1.8182,0.1386,2.944,S822
1.8434,0.1366,2.851,S822
1.8687,0.1346,2.7603,S822
1.8939,0.1327,2.672,S822
1.9192,0.1308,2.586,S822
1.9444,0.1289,2.5021,S822
1.9697,0.1269,2.4203,S822
1.9949,0.125,2.3405,S822
2.0202,0.123,2.2627,S822
2.0455,0.1209,2.1867,S822
2.0707,0.1189,2.1126,S822
2.096,0.1167,2.0401,S822
2.1212,0.1144,1.9694,S822
2.1465,0.112,1.9003,S822
2.1717,0.1095,1.8328,S822
2.197,0.1068,1.7667,S822
2.2222,0.1038,1.7022,S822
2.2475,0.1006,1.639,S822
2.2727,0.0971,1.5773,S822
2.298,0.0931,1.5168,S822
2.3232,0.0887,1.4577,S822
2.3485,0.0836,1.3998,S822
2.3737,0.0778,1.3431,S822
2.399,0.0709,1.2876,S822
2.4242,0.0625,1.2332,S822
2.4495,0.052,1.1799,S822
2.4747,0.0375,1.1277,S822
2.5,0.0375,1.0765,S822
