V_mps,P_Smart_W,P_Comercial_W,T_Smart_N,T_Comercial_N,Q_Smart_Nm,Q_Comercial_Nm
3.0,-235.1068860183566,-255.89610913880685,56.567873156423,200.12209433751548,-8.980421535543424,-9.77451136498182
4.0,39.23348625935413,-152.91878353852167,179.5490444423894,246.9617556106234,1.4986087854969996,-5.8410672700212665
5.0,444.74894146578674,161.96980221264025,272.1851267025828,325.0828303770817,16.988158192600316,6.186790716901993
6.0,1048.804811652037,641.5040092753437,376.1274689498754,407.9605943094649,40.061392827116634,24.503648181465607
7.0,1884.1993313146097,1317.5453881568887,488.7484649791989,496.2420132298138,71.97111296379936,50.32652670554371
8.0,2913.0475907479326,2221.574500788449,602.780647162598,592.1391300476732,111.27022164707282,84.85789517937394
9.0,4141.294180475302,3378.859462793461,715.508252924164,697.115865328037,158.18578550888256,129.06292452393728
10.0,5470.536364044367,4646.76120595304,807.334855138944,794.9110986273765,208.95909688839006,177.49320367081995
11.0,6645.201368610313,5927.266660924941,859.1656174320867,875.7385267885932,253.82799495728625,226.4049091463994
12.0,7959.791849825228,7154.398746996869,925.7685963047177,941.649100824922,304.041652531744,273.2779021044034
13.0,9387.988170016903,8154.48007581875,996.9103328260834,982.4427789686711,358.59473350714245,311.47819497862264
14.0,10813.304658440426,8905.944385605493,1060.4483726128217,1004.8341200695845,413.03781301185904,340.1820172489505
15.0,12144.893780437958,9391.310310155806,1112.5295882072794,1012.4451439689434,463.9007708358521,358.72162991308255
16.0,13258.249975421779,9708.358506471965,1147.864187105584,1015.237821417504,506.4278448807303,370.8319789471833
17.0,14211.230044439484,9894.895412692205,1176.1427069463111,1016.4951053731402,542.8290021572639,377.9571639137482
18.0,15005.587499744848,10032.348381205189,1199.449445737982,1021.8692679047306,573.1712218997634,383.20748056530726
19.0,15642.20995773418,10146.015747731944,1218.9348049915816,1031.8850401633413,597.4884085571189,387.54925414554043
20.0,16137.916016897088,10242.698173039485,1235.9726809348535,1045.8381763570242,616.4229852698502,391.24225076101436
