v_inf,omega_rad_s,rpm,pitch_deg,lambda,Cp,Ct,power_W,torque_Nm,thrust_N,non_converged,eta_drivetrain,power_elec_W
4.0,12.4,118.41127766037013,0.0,7.75,0.3703247925780588,0.680177343503062,285.03536371232144,22.986722880025923,130.88145891110577,0,0.38597097503374084,110.01537725114166
5.0,15.5,148.01409707546267,0.0,7.75,0.40368387762123037,0.7130460283824845,606.8584463971429,39.15215783207373,214.38458604971063,0,0.5131173605902101,311.38960426717745
6.0,18.6,177.6169164905552,0.0,7.75,0.42669836860702753,0.7367017162440184,1108.4362404572496,59.59334626114244,318.95555141902736,0,0.5911665430399343,655.2704204512936
7.0,20.210912738094336,193.0,0.0,7.218183120747978,0.4401075570190953,0.7150433825085892,1815.4693821672292,89.82619467478874,421.3708175786125,0,0.6368080682948921,1156.1055503064345
8.0,20.210912738094336,193.0,0.0,6.31591023065448,0.43083820608090545,0.6488028073271632,2652.8955604947732,131.26055190444168,499.37716261622535,0,0.6621054025281127,1756.496482946435
9.0,20.210912738094336,193.0,0.0,5.614142427248427,0.3948818802948535,0.5719726966887543,3462.0291268881138,171.29504103803995,557.18100203158,0,0.6757059324405567,2339.313619320299
10.0,20.210912738094336,193.0,0.0,5.052728184523584,0.3444571514372077,0.4932306400851531,4142.582716027214,204.96762168583848,593.1793594955353,0,0.6832657167299026,2830.4847485792407
11.0,20.210912738094336,193.0,0.0,4.593389258657804,0.2921987795525453,0.4241348864082199,4677.269951488524,231.42299470090825,617.1991927777325,0,0.6877402929445173,3216.747006617306
12.0,20.210912738094336,193.0,0.0,4.21060682043632,0.2421572334551311,0.36358019063568653,5032.423335983916,248.9953522236828,629.649246810382,0,0.6902117598345109,3473.437766961719
13.0,20.210912738094336,193.0,10.52734375,3.8867139880950647,0.19121557541144618,0.2351665418709906,5052.302025787039,249.97891442400118,477.9673386299877,0,0.690340308771714,3487.8077404897813
14.0,20.210912738094336,193.0,13.3984375,3.609091560373989,0.15215824807698256,0.18505794756979435,5021.293294738533,248.44465758709646,436.2141966454326,0,0.6901393621313411,3465.3921515052316
15.0,20.210912738094336,193.0,15.791015625,3.368485456349056,0.12395789761504997,0.15034612322711396,5031.343425038896,248.94192015166237,406.82790588997875,0,0.6902047486930531,3472.6571242674167
16.0,20.210912738094336,193.0,17.978515625,3.15795511532724,0.10244512702518424,0.12442639886812812,5046.464660627587,249.69009198262526,383.0791193848098,0,0.6903026605281761,3483.587981492643
17.0,20.210912738094336,193.0,20.09765625,2.9721930497197553,0.08476804596063375,0.10348628966777618,5008.58350967987,247.81580003754564,359.6802920071789,0,0.6900563138501861,3456.204674300519
18.0,20.210912738094336,193.0,22.01171875,2.8070712136242135,0.071559679215304,0.08797302863965065,5019.054175272195,248.3338699400785,342.79188872448265,0,0.690124760350724,3463.773559897024
19.0,20.210912738094336,193.0,23.7890625,2.6593306234334655,0.06125939783213715,0.07593798146367134,5053.23516152535,250.025084319958,329.6873120972411,0,0.6903463193723614,3488.4822946820254
20.0,20.210912738094336,193.0,25.56640625,2.526364092261792,0.05208956212756662,0.06532280367343407,5011.603187328094,247.9652083145173,314.2395114526592,0,0.690076081366946,3458.387488877467
21.0,20.210912738094336,193.0,27.20703125,2.406061040249326,0.045007133908032085,0.057131780997594,5012.740526086592,248.02148181256445,303.0067723415414,0,0.6900835207716983,3459.2096309568105
22.0,20.210912738094336,193.0,28.779296875,2.296694629328902,0.03922359232644659,0.050424428173068934,5022.863683657063,248.5223576365143,293.50961085283404,0,0.6901495955771838,3466.5273399152456
23.0,20.210912738094336,193.0,30.283203125,2.1968383410972105,0.03432240397151782,0.04475524846469988,5022.23684350174,248.4913427009967,284.73157315783953,0,0.6901455115017746,3466.074215241566
24.0,20.210912738094336,193.0,31.71875,2.10530341021816,0.03028169813521932,0.04006075237507599,5034.425680358939,249.09442466048807,277.509316616195,0,0.6902247521384958,3474.8852173854266
25.0,20.210912738094336,193.0,33.1201171875,2.0210912738094335,0.026670369122859375,0.03586207371766011,5011.699645434876,247.96998089000823,269.55748727348316,0,0.6900767124303366,3458.4572150099834
